feature,feature with no special characters,legend,Adapazar,Akn,Alashkert,Altun-Husein,Amasia,Arabkir,Aramo,Arjesh,ArtialKuti,Artial Suceava,Aslanbek,Aygetun,Ayntab,Baberd,Bardizag,Beylan,Bitlis,Charsanchag ,Chmshgadzak,Constantinople,Crimea,Darende,EdesiaUrfa,Erznkay,Eudokia,Evereg,Gamakh,Gelieguzan Sasun,Gop,Grabar,Gyumri,Gyurin,Hajin,HajiHabibli Svedia,Halvorig,Hamshen Mala,Hamshen Martil,Hamshen Zefanos,Hazzo,Jerusalem,Kesab Galaduran,Kabusiye,Karin,Kesaria,KharberdDersim,Khodorjur,Malatya,Manazkert,Marash,Marzvan,Middle Arm,Moks,Mush,Nicomedia,Nish,Ordu,Ozmi,Prknig,Rodosto,Sasun,Sebastia,Shabin-Karahisar,Shatakh,Sivrihisar,Smyrna,SWA,Syolyoz,Tigranakert,Tomarza,Trabzon,Van,Vartenis,Xlat,Xnus,Xtrbek,Yoghnoluk,YozgatGamirk,Zeytun,Shamakhi
1st and 2nd conjugations fall together 76,1st and 2nd conjugations fall together 76,,1,1,1,1,1,1,1,1,1,0,1,1,?,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,?,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,?,1,0
spread of ustem conjugation 77,spread of ustem conjugation 77,1 = spread; 2 = only for causatives,1,0,1,0,1,1,0,1,1,1,0,1,?,0,0,1,1,0,0,0,2,1,0,0,2,1,0,1,1,0,0,1,1,1,1,1,1,1,2,?,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,2,1,1,1,1,?,1,0
preverbal particle form generally,preverbal particle form generally,0=none; 1=velar; 2=ha(X); 3=both,1,1,1,1,1,2,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,3,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,3,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
present w ku k? k g? g 78,present w ku k k g g 78,1 = g?; 2 =gi; 3 =ga/ka; 4 = both ga+g?,2,1,1,0,1,1,1,1,2,2,1,1,?,1,3,3,1,1,1,1,2,4,1,1,4,4,1,1,1,0,1,1,1,4,1,1,1,1,1,1,1,4,1,4,1,0,1,1,3,4,1,1,1,1,1,1,1,1,1,?,1,1,1,4,4,1,1,1,4,1,1,2,1,1,1,1,?,4,0
indicative ha/hay/haye/a,indicative hahayhayea,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,?,?,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,0,?,?,?,0
indicative ka/ga,indicative kaga,,0,0,0,0,1,0,0,0,0,0,0,0,?,0,1,1,?,?,?,0,?,?,?,?,?,1,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,0,?,1,1,0
g? mobile affix,g mobile affix,,1,0,0,1,1,1,0,0,0,0,0,0,?,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,?,0,0
kor/gor,korgor,1 = kor gor; 2=ko koy go goy; 3=kar gar; 4=2+3,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,?,1,0,0,3,0,1,1,0,0,0,0,2,0,0,0,0,?,0,0
present progressive 81,present progressive 81,,1,1,0,1,1,1,1,0,0,0,1,0,?,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,?,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,?,1,0
progressive ha hay hay haykak aha hana 80,progressive ha hay hay haykak aha hana 80,"1 = ha(aha,hana); 2=hay; 3=haye; 4=haykak; 5=1+3; 6=1+2+4; 7=a, 8=e, 9=er, 10=uni/kuni, 11=yor, 12=tar, dar, de; 13=na; 14=?/?n?; 15=?n?e, 16=ge, 17= geu/g?u; 18=??r; 19=7+1; 20=5+10; 21=9+12+14; 22=9+15+16, 23=5+18; 24=5+13; 25=18+1; 26=19+9",6,1,0,13,0,21,1,0,0,0,20,0,0,22,23,0,0,13,13,0,0,0,19,13,0,0,19,0,0,0,0,0,0,17,19,10,8,10,0,0,1,17,0,0,19,0,1,0,0,0,0,0,0,24,0,0,0,0,25,0,0,12,0,9,19,0,0,0,0,26,0,0,0,0,0,0,?,0,0
