"Select","id","feature","weight","chartype","ps_score","ps_score_weighted","Adapazar","Akn","Alashkert","Altun.Husein","Amasia","Arabkir","Aramo","Arjesh","ArtialKuti","Artial.Suceava","Aslanbek","Aygetun","Ayntab","Baberd","Bardizag","Beylan","Bitlis","Charsanchag","Chmshgadzak","Constantinople","Crimea","Darende","EdesiaUrfa","Erznkay","Eudokia","Evereg","Gamakh","Gelieguzan.Sasun","Gop","Grabar","Gyumri","Gyurin","Hajin","HajiHabibli.Svedia","Halvorig","Hamshen.Mala","Hamshen.Martil","Hamshen.Zefanos","Hazzo","Jerusalem","Kesab.Galaduran","Kabusiye","Karin","Kesaria","KharberdDersim","Khodorjur","Malatya","Manazkert","Marash","Marzvan","Middle.Arm","Moks","Mush","Nicomedia","Nish","Ordu","Ozmi","Prknig","Rodosto","Sasun","Sebastia","Shabin.Karahisar","Shatakh","Sivrihisar","Smyrna","SWA","Syolyoz","Tigranakert","Tomarza","Trabzon","Van","Vartenis","Xlat","Xnus","Xtrbek","Yoghnoluk","YozgatGamirk","Zeytun","Shamakhi"
"Select","1","1st and 2nd conjugations fall together 76","1","standard","7","7","1","1","1","1","1","1","1","1","1","0","1","1","?","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","?","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","?","1","0"
"Select","2","spread of ustem conjugation 77","1","standard","12","12","1","0","1","0","1","1","0","1","1","1","0","1","?","0","0","1","1","0","0","0","2","1","0","0","2","1","0","1","1","0","0","1","1","1","1","1","1","1","2","?","0","1","0","1","0","1","1","1","1","1","1","0","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","2","1","1","1","1","?","1","0"
"Select","3","preverbal particle form generally","1","standard","8","8","1","1","1","1","1","2","2","1","1","1","3","1","1","1","3","1","1","1","1","1","1","1","3","1","2","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","0","3","1","1","1","1","1","1","3","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"Select","4","present w ku k k g g 78","1","standard","11","11","2","1","1","0","1","1","1","1","2","2","1","1","?","1","3","3","1","1","1","1","2","4","1","1","4","4","1","1","1","0","1","1","1","4","1","1","1","1","1","1","1","4","1","4","1","0","1","1","3","4","1","1","1","1","1","1","1","1","1","?","1","1","1","4","4","1","1","1","4","1","1","2","1","1","1","1","?","4","0"
"Select","5","indicative hahayhayea","1","standard","1","1","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","?","?","?","?","0","?","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","0","?","?","?","0"
"Select","6","indicative kaga","1","standard","4","4","0","0","0","0","1","0","0","0","0","0","0","0","?","0","1","1","?","?","?","0","?","?","?","?","?","1","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","0","?","1","1","0"
"Select","7","g mobile affix","1","standard","7","7","1","0","0","1","1","1","0","0","0","0","0","0","?","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","?","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","?","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","?","0","0"
"Select","8","korgor","1","standard","10","10","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","2","?","1","0","0","3","0","1","1","0","0","0","0","2","0","0","0","0","?","0","0"
"Select","9","present progressive 81","1","standard","9","9","1","1","0","1","1","1","1","0","0","0","1","0","?","1","1","0","0","1","0","1","0","0","1","1","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","1","0","1","0","0","1","0","1","0","1","1","1","0","0","1","0","1","1","1","1","?","1","1","0","0","1","1","1","1","0","1","0","1","0","0","1","1","?","1","0"
"Select","10","progressive ha hay hay haykak aha hana 80","1","standard","22","22","6","1","0","13","0","21","1","0","0","0","20","0","0","22","23","0","0","13","13","0","0","0","19","13","0","0","19","0","0","0","0","0","0","17","19","10","8","10","0","0","1","17","0","0","19","0","1","0","0","0","0","0","0","24","0","0","0","0","25","0","0","12","0","9","19","0","0","0","0","26","0","0","0","0","0","0","?","0","0"
"Select","11","present w um 82","1","standard","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Select","12","present with lis 83","1","standard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Select","13","present construction not shared with lis particle","1","standard","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","1"
"Select","14","man particle yelman instead of yeladz resultative 84","1","standard","5","5","0","1","1","0","0","0","0","1","1","1","0","1","?","0","0","1","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","?","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","?","0","0","1","0","0","0","0","1","0","0","1","1","1","1","0","0","?","1","0"
"Select","15","pluperf in r perer em 85","1","standard","3","3","1","1","1","1","1","1","1","1","0","0","1","1","?","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","?","1","0"
"Select","16","aorpret in uk yepadz yepug 86","1","standard","6","6","1","1","1","1","1","1","0","1","0","0","0","1","?","0","0","0","1","1","1","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1","1","1","1","0","?","1","1","1","1","1","0","1","1","0","0","1","1","1","1","0","0","?","0","0"
"Select","17","1st conjugation verbs only 3SG in e 87","1","standard","12","12","0","0","0","0","0","2","0","0","0","0","0","0","?","0","0","0","0","0","2","0","0","0","2","2","0","0","2","0","2","0","0","0","0","0","2","0","2","0","0","?","2","1","0","0","2","2","0","0","1","0","0","1","0","0","0","0","1","0","0","?","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","1","?","0","1"
"Select","18","aux copula to a in 3rd person a  a 88","1","standard","10","10","0","0","0","1","0","1","0","1","0","0","1","0","?","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","1","1","0","1","1","1","0","0","?","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","?","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","?","0","1"
"Select","19","i  i in aux verbs i ir etc 89","1","standard","7","7","0","0","1","0","0","0","0","1","0","0","0","2","?","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","2","?","0","0","0","0","0","0","0","1","1","0","0","2","1","0","2","0","2","0","0","?","0","0","2","0","0","0","0","0","0","0","1","1","1","1","0","0","?","0","1"
"Select","20","participles in loc lyac li lik in contrast to CA 90","1","standard","5","5","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","?","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","3","?","0","0"
"Select","21","grabar participle in agaagun comp future 91","1","standard","4","4","0","0","0","0","0","0","0","0","0","0","0","4","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","0","?","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","1"
"Select","22","past formed w periphrastic constrw particle 93","1","standard","4","4","0","0","0","0","0","0","2","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","?","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","?","0","0"
"Select","23","1st 3rd conj aor in cank 94","1","standard","15","15","1","1","0","0","0","0","1","0","0","0","1","0","?","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","3","0","0","1","1","2","3","3","3","0","?","1","1","0","0","1","0","2","0","1","1","1","0","0","0","0","1","0","1","1","?","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","?","1","0"
"Select","24","1st conj verbs aor in other stems grem gramgrim 95 tshless aorist","1","standard","4","4","0","0","1","1","0","0","0","1","0","0","0","0","?","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","?","1","0"
"Select","25","compound aor instead of c 96","1","standard","2","2","0","0","0","0","0","0","0","0","2","1","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0"
"Select","26","postposed negative kril mi kres i 97","1","standard","4","4","0","0","0","0","1","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","?","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","?","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","?","0","1"
"Select","27","doubling of aux verb in neg em krer em 98","1","standard","11","11","0","0","1","0","0","0","0","1","0","0","0","0","?","0","2","0","1","2","0","0","1","1","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","?","0","0","0","3","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","?","0","0","0","0","0","0","0","1","1","3","0","1","1","1","0","0","?","0","0"
"Select","28","neg particle 99","1","standard","5","5","0","0","1","0","0","0","1","1","0","0","0","1","?","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","?","0","0","1","0","0","1","0","1","0","0","0","1","1","0","1","0","0","0","0","?","0","0","1","0","0","0","0","1","0","0","1","1","1","1","0","0","?","1","0"
"Select","29","u or unim comp tenses kru kradz unim  100","1","standard","1","1","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0"
"Select","30","past imperf 1st pl in place of 1st sg              1003","1","standard","1","1","0","0","1","0","0","0","0","1","0","0","0","1","?","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","?","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","?","0","0","0","0","0","0","?","1","0","0","0","0","1","1","0","0","?","0","0"
"Select","31","past imperf aor AUX eir  eis                 1004","1","standard","2","2","0","0","0","0","0","0","0","0","0","1","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","?","1","0"
"Select","32","1st sg aor in im instead of i  krecim         1006","1","standard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","?","0","0"
"Select","33","nenaanaetc conditional enclitic marker","1","standard","10","10","1","1","0","0","0","1","0","0","0","0","4","0","?","0","0","3","?","?","?","1","1","0","?","?","?","?","?","?","?","0","?","?","?","2","?","1","1","1","?","?","?","3","?","1","1","?","?","?","1","?","1","?","3","?","?","?","?","?","?","?","?","?","?","?","1","1","?","?","?","?","?","?","?","?","3","?","?","1","?"
"Select","34","er participle can inflect in 3SG","1","standard","2","2","0","0","0","0","0","0","0","0","0","0","0","0","?","?","0","?","?","?","?","0","?","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","?","1","?","?","?","1","?","?","?","?"
"Select","35","hinitial aspiration","1","standard","6","6","0","0","0","0","0","0","0","0","0","0","0","0","?","?","0","?","?","?","?","0","1","0","?","0","?","?","?","?","?","0","?","?","?","1","?","1","?","?","?","?","?","?","1","?","1","?","1","?","?","?","?","0","?","?","?","?","0","?","?","?","?","?","?","?","?","0","?","?","?","?","0","?","?","?","0","?","?","?","?"
"Select","36","anel  nul","1","standard","8","8","?","?","?","?","?","4","?","?","1","1","0","0","?","?","?","?","?","?","?","4","0","?","4","4","?","?","?","?","?","0","?","?","1","1","?","1","1","1","?","?","?","?","3","?","?","?","?","?","?","?","?","5","1","?","?","?","?","?","?","1","?","?","5","?","?","4","?","4","?","?","4","?","?","?","1","?","?","?","?"
"Select","37","e  i before nasals in 1st conj","1","standard","3","3","0","1","0","0","0","0","0","0","0","0","1","0","?","?","0","?","?","?","?","0","?","?","?","?","1","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","0","?","?","?","?"
"Select","38","mobile prohibitive","1","standard","2","2","0","0","0","0","0","0","0","0","0","0","0","0","?","?","0","?","?","?","?","0","?","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","1","1","?","?","?","0","?","?","?","?"
"Select","39","mobile bidi","1","standard","2","2","0","0","0","0","0","0","0","0","0","0","0","0","?","?","0","?","?","?","?","0","?","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","1","?","?","?","?","0","?","?","?","1","?","?","?","?","0","?","?","?","?"
